	-114.11106	48.99497
	-114.09610	49.01060
	-114.08494	49.01562
	-114.08384	49.02921
	-114.09022	49.04098
	-114.11005	49.05440
	-114.14612	49.07438
	-114.18238	49.12822
	-114.18131	49.14181
	-114.18799	49.15269
	-114.21059	49.16642
	-114.25886	49.18326
	-114.29642	49.17866
	-114.30882	49.17924
	-114.34914	49.19964
	-114.40034	49.20121
	-114.41482	49.20934
	-114.41911	49.22906
	-114.40951	49.24346
	-114.41074	49.24909
	-114.43420	49.26012
	-114.46606	49.27123
	-114.46840	49.28797
	-114.49759	49.30881
	-114.50535	49.31613
	-114.51266	49.34534
	-114.52229	49.35106
	-114.54324	49.35627
	-114.55127	49.36270
	-114.55425	49.37220
	-114.58434	49.37482
	-114.59930	49.38663
	-114.61494	49.41132
	-114.61707	49.41889
	-114.61894	49.45295
	-114.61226	49.48236
	-114.58812	49.54451
	-114.59322	49.55151
	-114.60091	49.55424
	-114.64890	49.54335
	-114.68345	49.54553
	-114.70068	49.54935
	-114.73434	49.56513
	-114.75568	49.58497
	-114.75374	49.60762
	-114.72979	49.62317
	-114.68275	49.64062
	-114.68229	49.66802
	-114.68420	49.67648
	-114.67255	49.70351
	-114.65340	49.72693
	-114.66652	49.76141
	-114.65836	49.77054
	-114.65694	49.81159
	-114.66106	49.83771
	-114.68143	49.86662
	-114.69980	49.89254
	-114.69920	49.91537
	-114.70491	49.93069
	-114.66470	49.98380
	-114.67763	50.03477
	-114.67247	50.05342
	-114.70960	50.07875
	-114.73492	50.11097
	-114.74130	50.14470
	-114.73900	50.17377
	-114.73532	50.18711
	-114.77148	50.25814
	-114.76478	50.27206
	-114.77114	50.29570
	-114.78380	50.30172
	-114.79925	50.32364
	-114.79655	50.33342
	-114.77179	50.34530
	-114.76983	50.35242
	-114.77997	50.35723
	-114.81260	50.36366
	-114.82047	50.38197
	-114.84823	50.39059
	-114.86100	50.39111
	-114.86626	50.39811
	-114.87426	50.42652
	-114.88068	50.43458
	-114.91696	50.45421
	-114.95681	50.49257
	-114.97011	50.51239
	-115.00206	50.55902
	-115.02125	50.57856
	-115.04836	50.57420
	-115.07653	50.58186
	-115.11182	50.57379
	-115.15127	50.57166
	-115.17794	50.55804
	-115.17984	50.55091
	-115.19976	50.53015
	-115.21141	50.52958
	-115.23325	50.55026
	-115.23949	50.56469
	-115.23312	50.58326
	-115.27370	50.59861
	-115.30399	50.62569
	-115.31168	50.63476
	-115.28594	50.65035
	-115.28382	50.65837
	-115.30015	50.67846
	-115.29779	50.68738
	-115.30618	50.70478
	-115.31904	50.71624
	-115.34666	50.72651
	-115.37337	50.71283
	-115.38531	50.71135
	-115.41106	50.72324
	-115.41459	50.73736
	-115.44554	50.75162
	-115.45773	50.75473
	-115.48566	50.76958
	-115.49225	50.77760
	-115.52441	50.78737
	-115.55779	50.80368
	-115.55784	50.81468
	-115.57155	50.83444
	-115.58495	50.83858
	-115.63592	50.83742
