	-88.20003	34.99555
	-88.20292	35.00794
	-87.98489	35.00585
	-87.60610	35.00338
	-87.22319	34.99920
	-87.21075	34.99894
	-86.83637	34.99168
	-86.78365	34.99184
	-86.31878	34.99108
	-86.31129	34.99101
	-85.86531	34.98817
	-85.60520	34.98460
	-85.58318	34.86029
	-85.53413	34.62378
	-85.52730	34.58860
	-85.51376	34.52409
	-85.46225	34.28630
	-85.42190	34.08072
	-85.39888	33.96403
	-85.38663	33.90161
	-85.33828	33.65301
	-85.30449	33.48277
	-85.29385	33.42799
	-85.23657	33.12944
	-85.23243	33.10796
	-85.18419	32.87040
	-85.18446	32.86119
	-85.17941	32.85514
	-85.16876	32.85246
	-85.16196	32.85626
	-85.15345	32.84474
	-85.15465	32.83968
	-85.16064	32.83812
	-85.16840	32.82839
	-85.16490	32.81966
	-85.16800	32.81148
	-85.15208	32.79405
	-85.14639	32.79143
	-85.14225	32.79201
	-85.13972	32.78502
	-85.12628	32.77906
	-85.12239	32.77425
	-85.13094	32.76943
	-85.13675	32.77104
	-85.13748	32.76706
	-85.14290	32.76199
	-85.13510	32.74640
	-85.12830	32.74210
	-85.11681	32.73981
	-85.11340	32.73562
	-85.12280	32.71590
	-85.11820	32.70930
	-85.12010	32.70640
	-85.11530	32.68720
	-85.09360	32.66960
	-85.08895	32.65636
	-85.09960	32.65100
	-85.10540	32.64340
	-85.09896	32.63680
	-85.10015	32.63444
	-85.09628	32.63469
	-85.09675	32.63606
	-85.09010	32.63390
	-85.08318	32.63602
	-85.08390	32.63180
	-85.09100	32.62560
	-85.08231	32.61613
	-85.08085	32.60794
	-85.07792	32.59744
	-85.06760	32.57941
	-85.06075	32.57714
	-85.05699	32.57110
	-85.04553	32.56158
	-85.04373	32.55638
	-85.03906	32.55568
	-85.03501	32.55203
	-85.03146	32.54403
	-85.02087	32.54263
	-85.02030	32.53461
	-85.01533	32.53097
	-85.01448	32.52643
	-85.00717	32.52373
	-85.00112	32.51034
	-84.99990	32.50420
	-84.99660	32.50150
	-84.99890	32.49690
